mistral:7b,0,0,0,0.44,0,1.76,0.836
mistral:7b,0,0,1,0.44,0,3.78,0.932
mistral:7b,0,0,2,0.44,0,2.31,0.918
mistral:7b,0,0,3,0.44,0,3.15,1.263
mistral:7b,0,0,4,0.44,0,6.27,0.865
mistral:7b,0,0,5,0.44,0,2.44,1.241
mistral:7b,0,0,6,0.44,0,2.78,1.071
mistral:7b,0,0,0,0.44,2,1.04,0.992
mistral:7b,0,0,1,0.44,2,1.76,0.944
mistral:7b,0,0,2,0.44,2,1.23,1.013
mistral:7b,0,0,3,0.44,2,2.15,1.068
mistral:7b,0,0,4,0.44,2,9.02,1.431
mistral:7b,0,0,5,0.44,2,2.28,1.132
mistral:7b,0,0,6,0.44,2,1.61,1.063
mistral:7b,0,0,0,0.44,4,1.80,0.935
mistral:7b,0,0,1,0.44,4,1.85,1.014
mistral:7b,0,0,2,0.44,4,2.54,1.144
mistral:7b,0,0,3,0.44,4,2.90,1.381
mistral:7b,0,0,4,0.44,4,4.04,1.092
mistral:7b,0,0,5,0.44,4,1.97,1.571
mistral:7b,0,0,6,0.44,4,0.68,1.070
mistral:7b,0,0,0,0.44,6,3.00,1.006
mistral:7b,0,0,1,0.44,6,2.90,1.064
mistral:7b,0,0,2,0.44,6,2.30,0.981
mistral:7b,0,0,3,0.44,6,4.55,1.358
mistral:7b,0,0,4,0.44,6,8.77,2.037
mistral:7b,0,0,5,0.44,6,7.38,2.722
mistral:7b,0,0,6,0.44,6,1.47,1.182
mistral:7b,0,0,0,0.44,8,5.07,0.998
mistral:7b,0,0,1,0.44,8,3.41,1.114
mistral:7b,0,0,2,0.44,8,2.88,1.167
mistral:7b,0,0,3,0.44,8,5.18,1.342
mistral:7b,0,0,4,0.44,8,5.14,2.051
mistral:7b,0,0,5,0.44,8,6.83,1.295
mistral:7b,0,0,6,0.44,8,3.83,1.268
mistral:7b,0,0,0,0.44,10,5.38,1.210
mistral:7b,0,0,1,0.44,10,4.70,1.278
mistral:7b,0,0,2,0.44,10,2.81,1.067
mistral:7b,0,0,3,0.44,10,10.00,1.745
mistral:7b,0,0,4,0.44,10,8.04,0.915
mistral:7b,0,0,5,0.44,10,6.46,1.549
mistral:7b,0,0,6,0.44,10,5.66,1.376
mistral:7b,0,0,0,0.44,12,7.97,1.311
mistral:7b,0,0,1,0.44,12,9.60,1.319
mistral:7b,0,0,2,0.44,12,6.52,1.388
mistral:7b,0,0,3,0.44,12,9.94,1.846
mistral:7b,0,0,4,0.44,12,11.23,2.910
mistral:7b,0,0,5,0.44,12,13.83,6.391
mistral:7b,0,0,6,0.44,12,6.61,1.715
mistral:7b,0,1,0,-0.18,0,0.79,1.425
mistral:7b,0,1,1,-0.18,0,1.26,1.462
mistral:7b,0,1,2,-0.18,0,1.00,1.748
mistral:7b,0,1,3,-0.18,0,2.82,2.198
mistral:7b,0,1,4,-0.18,0,7.70,2.653
mistral:7b,0,1,5,-0.18,0,1.18,1.561
mistral:7b,0,1,6,-0.18,0,13.41,1.202
mistral:7b,0,1,0,-0.18,2,1.14,1.354
mistral:7b,0,1,1,-0.18,2,-0.30,1.406
mistral:7b,0,1,2,-0.18,2,2.06,1.189
mistral:7b,0,1,3,-0.18,2,2.64,1.340
mistral:7b,0,1,4,-0.18,2,11.60,2.711
mistral:7b,0,1,5,-0.18,2,0.97,1.470
mistral:7b,0,1,6,-0.18,2,1.29,1.931
mistral:7b,0,1,0,-0.18,4,1.07,1.643
mistral:7b,0,1,1,-0.18,4,2.35,1.309
mistral:7b,0,1,2,-0.18,4,2.46,1.309
mistral:7b,0,1,3,-0.18,4,2.78,1.995
mistral:7b,0,1,4,-0.18,4,2.84,2.245
mistral:7b,0,1,5,-0.18,4,3.68,1.289
mistral:7b,0,1,6,-0.18,4,1.55,1.498
mistral:7b,0,1,0,-0.18,6,1.80,1.350
mistral:7b,0,1,1,-0.18,6,2.72,1.250
mistral:7b,0,1,2,-0.18,6,1.29,1.090
mistral:7b,0,1,3,-0.18,6,3.09,1.393
mistral:7b,0,1,4,-0.18,6,7.84,1.677
mistral:7b,0,1,5,-0.18,6,3.66,1.388
mistral:7b,0,1,6,-0.18,6,1.57,1.377
mistral:7b,0,1,0,-0.18,8,3.28,1.481
mistral:7b,0,1,1,-0.18,8,3.54,1.331
mistral:7b,0,1,2,-0.18,8,3.06,1.265
mistral:7b,0,1,3,-0.18,8,5.74,2.013
mistral:7b,0,1,4,-0.18,8,6.51,1.482
mistral:7b,0,1,5,-0.18,8,5.10,0.934
mistral:7b,0,1,6,-0.18,8,1.71,1.345
mistral:7b,0,1,0,-0.18,10,6.50,1.267
mistral:7b,0,1,1,-0.18,10,5.18,1.197
mistral:7b,0,1,2,-0.18,10,3.78,1.294
mistral:7b,0,1,3,-0.18,10,5.61,1.945
mistral:7b,0,1,4,-0.18,10,9.56,1.487
mistral:7b,0,1,5,-0.18,10,6.73,1.320
mistral:7b,0,1,6,-0.18,10,2.29,1.441
mistral:7b,0,1,0,-0.18,12,6.54,1.514
mistral:7b,0,1,1,-0.18,12,7.61,1.558
mistral:7b,0,1,2,-0.18,12,7.15,1.482
mistral:7b,0,1,3,-0.18,12,9.44,1.793
mistral:7b,0,1,4,-0.18,12,9.22,2.429
mistral:7b,0,1,5,-0.18,12,5.40,1.367
mistral:7b,0,1,6,-0.18,12,8.89,2.150
mistral:7b,0,2,0,0.33,0,0.51,1.229
mistral:7b,0,2,1,0.33,0,1.48,1.315
mistral:7b,0,2,2,0.33,0,1.39,1.044
mistral:7b,0,2,3,0.33,0,2.44,0.994
mistral:7b,0,2,4,0.33,0,9.52,1.971
mistral:7b,0,2,5,0.33,0,1.55,1.029
