phi4:14b,0,0,0,0.44,0,1.79,2.439
phi4:14b,0,0,1,0.44,0,0.22,2.317
phi4:14b,0,0,2,0.44,0,0.31,1.924
phi4:14b,0,0,3,0.44,0,2.62,2.749
phi4:14b,0,0,4,0.44,0,11.01,4.325
phi4:14b,0,0,5,0.44,0,0.34,2.076
phi4:14b,0,0,6,0.44,0,0.64,2.242
phi4:14b,0,0,0,0.44,2,1.76,2.467
phi4:14b,0,0,1,0.44,2,2.16,2.305
phi4:14b,0,0,2,0.44,2,-0.14,2.245
phi4:14b,0,0,3,0.44,2,2.48,2.440
phi4:14b,0,0,4,0.44,2,9.49,3.548
phi4:14b,0,0,5,0.44,2,0.34,2.163
phi4:14b,0,0,6,0.44,2,1.85,2.293
phi4:14b,0,0,0,0.44,4,1.51,2.383
phi4:14b,0,0,1,0.44,4,2.55,2.287
phi4:14b,0,0,2,0.44,4,0.96,2.354
phi4:14b,0,0,3,0.44,4,3.34,2.836
phi4:14b,0,0,4,0.44,4,10.20,4.265
phi4:14b,0,0,5,0.44,4,2.61,3.114
phi4:14b,0,0,6,0.44,4,1.86,2.448
phi4:14b,0,0,0,0.44,6,3.33,2.648
phi4:14b,0,0,1,0.44,6,3.13,2.622
phi4:14b,0,0,2,0.44,6,1.37,2.416
phi4:14b,0,0,3,0.44,6,4.96,3.497
phi4:14b,0,0,4,0.44,6,13.44,6.530
phi4:14b,0,0,5,0.44,6,2.91,2.916
phi4:14b,0,0,6,0.44,6,1.21,2.405
phi4:14b,0,0,0,0.44,8,2.41,2.288
phi4:14b,0,0,1,0.44,8,1.98,2.540
phi4:14b,0,0,2,0.44,8,2.17,2.445
phi4:14b,0,0,3,0.44,8,7.30,3.798
phi4:14b,0,0,4,0.44,8,14.57,5.194
phi4:14b,0,0,5,0.44,8,4.36,3.287
phi4:14b,0,0,6,0.44,8,2.69,2.597
phi4:14b,0,0,0,0.44,10,4.32,2.565
phi4:14b,0,0,1,0.44,10,3.88,2.779
phi4:14b,0,0,2,0.44,10,3.45,2.493
phi4:14b,0,0,3,0.44,10,7.44,3.244
phi4:14b,0,0,4,0.44,10,12.97,5.979
phi4:14b,0,0,5,0.44,10,4.47,3.425
phi4:14b,0,0,6,0.44,10,1.80,2.466
phi4:14b,0,0,0,0.44,12,8.21,3.300
phi4:14b,0,0,1,0.44,12,8.02,3.262
phi4:14b,0,0,2,0.44,12,10.86,3.409
phi4:14b,0,0,3,0.44,12,13.47,6.284
phi4:14b,0,0,4,0.44,12,15.64,7.684
phi4:14b,0,0,5,0.44,12,12.72,4.583
phi4:14b,0,0,6,0.44,12,8.78,3.412
phi4:14b,0,1,0,-0.18,0,1.20,2.739
phi4:14b,0,1,1,-0.18,0,1.69,2.752
phi4:14b,0,1,2,-0.18,0,0.42,3.111
phi4:14b,0,1,3,-0.18,0,1.94,3.474
phi4:14b,0,1,4,-0.18,0,9.20,8.652
phi4:14b,0,1,5,-0.18,0,0.80,2.348
phi4:14b,0,1,6,-0.18,0,1.34,2.884
phi4:14b,0,1,0,-0.18,2,2.79,3.523
phi4:14b,0,1,1,-0.18,2,1.04,2.477
phi4:14b,0,1,2,-0.18,2,1.26,3.396
phi4:14b,0,1,3,-0.18,2,4.13,4.545
phi4:14b,0,1,4,-0.18,2,7.73,7.577
phi4:14b,0,1,5,-0.18,2,1.09,3.059
phi4:14b,0,1,6,-0.18,2,0.28,2.507
phi4:14b,0,1,0,-0.18,4,2.45,3.000
phi4:14b,0,1,1,-0.18,4,3.29,3.475
phi4:14b,0,1,2,-0.18,4,2.83,3.243
phi4:14b,0,1,3,-0.18,4,3.04,3.872
phi4:14b,0,1,4,-0.18,4,10.96,5.755
phi4:14b,0,1,5,-0.18,4,3.58,6.880
phi4:14b,0,1,6,-0.18,4,0.73,2.805
phi4:14b,0,1,0,-0.18,6,4.02,3.944
phi4:14b,0,1,1,-0.18,6,4.10,2.826
phi4:14b,0,1,2,-0.18,6,3.99,4.126
phi4:14b,0,1,3,-0.18,6,5.87,3.403
phi4:14b,0,1,4,-0.18,6,7.72,5.814
phi4:14b,0,1,5,-0.18,6,4.23,3.321
phi4:14b,0,1,6,-0.18,6,2.64,3.023
phi4:14b,0,1,0,-0.18,8,4.04,3.155
phi4:14b,0,1,1,-0.18,8,2.32,3.143
phi4:14b,0,1,2,-0.18,8,3.92,2.553
phi4:14b,0,1,3,-0.18,8,10.20,1.234
phi4:14b,0,1,4,-0.18,8,11.47,6.572
phi4:14b,0,1,5,-0.18,8,5.22,3.899
phi4:14b,0,1,6,-0.18,8,3.47,3.545
phi4:14b,0,1,0,-0.18,10,4.27,2.713
phi4:14b,0,1,1,-0.18,10,3.50,3.645
phi4:14b,0,1,2,-0.18,10,4.66,3.288
phi4:14b,0,1,3,-0.18,10,7.01,4.111
phi4:14b,0,1,4,-0.18,10,12.96,6.551
phi4:14b,0,1,5,-0.18,10,4.91,3.592
phi4:14b,0,1,6,-0.18,10,6.13,2.565
phi4:14b,0,1,0,-0.18,12,8.81,3.915
phi4:14b,0,1,1,-0.18,12,10.38,4.098
phi4:14b,0,1,2,-0.18,12,10.36,3.311
phi4:14b,0,1,3,-0.18,12,11.59,6.894
phi4:14b,0,1,4,-0.18,12,10.90,6.302
phi4:14b,0,1,5,-0.18,12,7.74,5.010
phi4:14b,0,1,6,-0.18,12,8.24,5.413
phi4:14b,0,2,0,0.33,0,2.19,2.069
phi4:14b,0,2,1,0.33,0,3.47,2.469
phi4:14b,0,2,2,0.33,0,1.92,2.829
phi4:14b,0,2,3,0.33,0,6.50,2.879
phi4:14b,0,2,4,0.33,0,10.80,11.130
phi4:14b,0,2,5,0.33,0,1.11,2.604
phi4:14b,0,2,6,0.33,0,3.41,2.682
phi4:14b,0,2,0,0.33,2,3.91,2.905
phi4:14b,0,2,1,0.33,2,3.53,2.732
phi4:14b,0,2,2,0.33,2,3.53,3.015
phi4:14b,0,2,3,0.33,2,4.54,2.811
phi4:14b,0,2,4,0.33,2,13.78,5.603
phi4:14b,0,2,5,0.33,2,2.18,2.972
phi4:14b,0,2,6,0.33,2,2.58,2.405
