mistral:7b,0,0,0,0,943997568,65936418,157,30707000,109,842609000
mistral:7b,0,0,1,0,1106695017,58172239,169,41078000,126,979036000
mistral:7b,0,0,2,0,948823380,58227431,197,45980000,105,815165000
mistral:7b,0,0,3,0,1302059292,73313125,191,46618000,148,1152595000
mistral:7b,0,0,4,0,912849911,76406337,115,34007000,100,773342000
mistral:7b,0,0,5,0,1154669213,71984847,315,79268000,124,970414000
mistral:7b,0,0,6,0,932442895,73848894,230,51916000,98,765274000
mistral:7b,0,0,0,2,1018466418,73934537,157,40741000,112,872978000
mistral:7b,0,0,1,2,958360879,73406948,169,40698000,105,818280000
mistral:7b,0,0,2,2,1000609892,53061184,197,46369000,112,874684000
mistral:7b,0,0,3,2,1262063752,76767729,191,48037000,141,1107131000
mistral:7b,0,0,4,2,1121459069,55790612,99,30431000,129,1007552000
mistral:7b,0,0,5,2,1229688781,52912038,343,88569000,135,1064432000
mistral:7b,0,0,6,2,979890161,67017367,230,53779000,104,816666000
mistral:7b,0,0,0,4,1029820692,64359842,157,40716000,114,893169000
mistral:7b,0,0,1,4,1041805512,65773862,169,41568000,116,909535000
mistral:7b,0,0,2,4,977919928,54135472,197,46943000,108,849114000
mistral:7b,0,0,3,4,1292305695,58409936,191,48051000,147,1157570000
mistral:7b,0,0,4,4,905141741,67477764,126,33890000,99,775456000
mistral:7b,0,0,5,4,1166209285,70889746,433,104862000,122,965950000
mistral:7b,0,0,6,4,1284362834,77673741,230,53194000,140,1104579000
mistral:7b,0,0,0,6,980512437,79217096,157,41836000,105,826086000
mistral:7b,0,0,1,6,1093636805,73158878,169,41378000,121,954063000
mistral:7b,0,0,2,6,1100648957,62270315,197,47839000,122,963662000
mistral:7b,0,0,3,6,1415816380,79460535,191,48355000,159,1258692000
mistral:7b,0,0,4,6,1058384980,77987832,132,42166000,115,904612000
mistral:7b,0,0,5,6,3075219183,77480133,596,135786000,353,2833715000
mistral:7b,0,0,6,6,1203754608,77385840,230,53658000,125,991742000
mistral:7b,0,0,0,8,903127519,77728042,157,41540000,96,752394000
mistral:7b,0,0,1,8,993745346,44124751,169,42101000,112,884729000
mistral:7b,0,0,2,8,881313982,78235481,197,48110000,92,724647000
mistral:7b,0,0,3,8,1477879967,75658788,191,48204000,166,1323628000
mistral:7b,0,0,4,8,1685120474,59958381,143,42291000,195,1552247000
mistral:7b,0,0,5,8,2186800565,54573817,532,123569000,245,1970277000
mistral:7b,0,0,6,8,1146296179,78865693,230,53588000,118,939973000
mistral:7b,0,0,0,10,1093786474,55126937,158,41580000,121,961663000
mistral:7b,0,0,1,10,1152984967,56936982,170,42595000,129,1026700000
mistral:7b,0,0,2,10,1102000029,77765003,198,48334000,119,947356000
mistral:7b,0,0,3,10,1443031240,77518844,192,48009000,161,1286961000
mistral:7b,0,0,4,10,1107986222,78716227,129,34693000,121,962512000
mistral:7b,0,0,5,10,1798244887,68122095,728,176036000,187,1512289000
mistral:7b,0,0,6,10,1497773297,76343992,231,53647000,160,1282917000
mistral:7b,0,0,0,12,1441691354,73913753,158,41600000,161,1289317000
mistral:7b,0,0,1,12,1514001098,78252350,170,43548000,170,1362403000
mistral:7b,0,0,2,12,1188419075,67112909,198,47841000,130,1040641000
mistral:7b,0,0,3,12,1537560295,76781957,192,48359000,172,1379816000
mistral:7b,0,0,4,12,2180470207,79552916,135,41996000,253,2029491000
mistral:7b,0,0,5,12,4002509092,71865690,1487,358068000,423,3511335000
mistral:7b,0,0,6,12,1492583455,40783079,231,55725000,153,1229723000
mistral:7b,0,1,0,0,1608793411,44510523,189,49818000,184,1477353000
mistral:7b,0,1,1,0,1579989642,59962210,201,48939000,179,1436797000
mistral:7b,0,1,2,0,1373683217,43713124,229,54658000,154,1238714000
mistral:7b,0,1,3,0,2364836182,67889796,223,57326000,273,2200668000
mistral:7b,0,1,4,0,2468864103,59014316,137,44562000,290,2331875000
mistral:7b,0,1,5,0,1579241215,54334107,347,49165000,177,1424828000
mistral:7b,0,1,6,0,1470109513,55207919,262,48657000,163,1310988000
mistral:7b,0,1,0,2,1532112175,54322506,189,49281000,173,1389809000
mistral:7b,0,1,1,2,1595260847,69155960,201,48818000,179,1439133000
mistral:7b,0,1,2,2,1522159443,79433881,229,54657000,168,1351962000
mistral:7b,0,1,3,2,2079603778,78032381,223,55413000,237,1908995000
mistral:7b,0,1,4,2,1098451860,60051243,175,48428000,119,953672000
mistral:7b,0,1,5,2,1719355259,68690414,375,48531000,194,1561134000
mistral:7b,0,1,6,2,1378193190,78592010,262,48781000,148,1192072000
mistral:7b,0,1,0,4,1491662516,68267028,189,48844000,166,1337920000
mistral:7b,0,1,1,4,1249929650,77267412,201,49063000,135,1088343000
mistral:7b,0,1,2,4,1251011328,70979316,229,55040000,136,1092725000
mistral:7b,0,1,3,4,1808828203,79403999,223,55107000,204,1638315000
mistral:7b,0,1,4,4,1292789219,78421824,168,48828000,141,1129123000
mistral:7b,0,1,5,4,2243949655,77539502,465,47957000,256,2072617000
mistral:7b,0,1,6,4,1267137643,56000987,262,49127000,136,1090798000
mistral:7b,0,1,0,6,1459418074,74245273,189,48400000,162,1301264000
mistral:7b,0,1,1,6,1321977544,53916631,201,48536000,148,1186412000
mistral:7b,0,1,2,6,1539530466,61642979,229,54050000,173,1390737000
mistral:7b,0,1,3,6,1628803198,70586341,223,54922000,182,1462947000
mistral:7b,0,1,4,6,2057859741,78312689,164,47385000,236,1896481000
mistral:7b,0,1,5,6,1423737132,73900381,628,48521000,153,1240884000
mistral:7b,0,1,6,6,1420569016,77693127,262,48697000,152,1219635000
mistral:7b,0,1,0,8,1403406117,75347962,189,47974000,155,1242910000
mistral:7b,0,1,1,8,1268050724,62430657,201,49149000,140,1122737000
mistral:7b,0,1,2,8,1272971880,60123984,229,53677000,140,1124047000
mistral:7b,0,1,3,8,1774616626,77228060,223,55296000,200,1607545000
mistral:7b,0,1,4,8,1799477256,66927269,182,47795000,205,1646508000
mistral:7b,0,1,5,8,1216303586,48483045,564,48784000,131,1053959000
mistral:7b,0,1,6,8,1567324668,76904328,262,48407000,171,1372864000
mistral:7b,0,1,0,10,1279178317,80126264,190,49290000,139,1110484000
mistral:7b,0,1,1,10,1597244303,58564108,202,48735000,182,1458333000
mistral:7b,0,1,2,10,1430610414,76567546,230,54288000,157,1258888000
mistral:7b,0,1,3,10,1661482961,78481824,224,54963000,186,1491056000
